ticket_id,summary,description,asset_id,type,priority,impact,deadline,status,created_by,assigned_to,estimated_minutes,requires_tools,change_window_start,change_window_end,x,y,row,rack,u
TICK-21,reseat_blade on A-06,Do reseat_blade for A-06,A-06,reseat_blade,Medium,2,2025-12-01,in-progress,engineer@demo,Dia,60,basic,2025-11-08T00:00:00,2025-12-31T23:59:59,385,108,A,6,28
TICK-22,reseat_blade on A-04,Do reseat_blade for A-04,A-04,reseat_blade,Medium,2,2025-12-01,in-progress,engineer@demo,Hana,45,basic,2025-11-08T00:00:00,2025-12-31T23:59:59,271,94,A,4,7
TICK-23,audit_label on D-04,Do audit_label for D-04,D-04,audit_label,Critical,3,2025-12-01,done,engineer@demo,Hana,30,basic,2025-11-08T00:00:00,2025-12-31T23:59:59,271,309,D,4,24
TICK-24,swap_psu on B-05,Do swap_psu for B-05,B-05,swap_psu,Medium,1,2025-12-01,done,engineer@demo,Ivan,15,basic,2025-11-08T00:00:00,2025-12-31T23:59:59,828,103,B,5,15
TICK-25,swap_psu on F-08,Do swap_psu for F-08,F-08,swap_psu,Low,3,2025-12-01,in-progress,engineer@demo,Ivan,30,basic,2025-11-08T00:00:00,2025-12-31T23:59:59,1500,302,F,8,18
TICK-26,install_server on A-04,Do install_server for A-04,A-04,install_server,Low,1,2025-12-01,queued,engineer@demo,Jia,15,basic,2025-11-08T00:00:00,2025-12-31T23:59:59,271,94,A,4,7
TICK-27,reseat_blade on F-04,Do reseat_blade for F-04,F-04,reseat_blade,Medium,3,2025-12-01,queued,engineer@demo,Jia,15,basic,2025-11-08T00:00:00,2025-12-31T23:59:59,1271,310,F,4,36
TICK-28,replace_sfp on E-08,Do replace_sfp for E-08,E-08,replace_sfp,Medium,3,2025-12-01,done,engineer@demo,Ivan,45,basic,2025-11-08T00:00:00,2025-12-31T23:59:59,1000,310,E,8,11
TICK-29,reseat_blade on C-01,Do reseat_blade for C-01,C-01,reseat_blade,High,2,2025-12-01,queued,engineer@demo,Eli,60,basic,2025-11-08T00:00:00,2025-12-31T23:59:59,1100,100,C,1,18
TICK-30,audit_label on B-01,Do audit_label for B-01,B-01,audit_label,High,2,2025-12-01,in-progress,engineer@demo,Ben,15,basic,2025-11-08T00:00:00,2025-12-31T23:59:59,600,97,B,1,33
TICK-31,install_server on D-06,Do install_server for D-06,D-06,install_server,Critical,1,2025-12-01,queued,engineer@demo,Ivan,30,basic,2025-11-08T00:00:00,2025-12-31T23:59:59,385,292,D,6,3
TICK-32,swap_psu on E-01,Do swap_psu for E-01,E-01,swap_psu,Low,2,2025-12-01,queued,engineer@demo,Dia,45,basic,2025-11-08T00:00:00,2025-12-31T23:59:59,600,293,E,1,25
TICK-33,reseat_blade on C-03,Do reseat_blade for C-03,C-03,reseat_blade,High,3,2025-12-01,done,engineer@demo,Eli,15,basic,2025-11-08T00:00:00,2025-12-31T23:59:59,1214,100,C,3,7
TICK-34,install_server on F-03,Do install_server for F-03,F-03,install_server,Medium,3,2025-12-01,queued,engineer@demo,Chen,45,basic,2025-11-08T00:00:00,2025-12-31T23:59:59,1214,302,F,3,18
TICK-35,replace_sfp on A-08,Do replace_sfp for A-08,A-08,replace_sfp,High,1,2025-12-01,in-progress,engineer@demo,Eli,30,basic,2025-11-08T00:00:00,2025-12-31T23:59:59,500,92,A,8,14
TICK-36,swap_psu on F-06,Do swap_psu for F-06,F-06,swap_psu,Medium,3,2025-12-01,in-progress,engineer@demo,Ivan,60,basic,2025-11-08T00:00:00,2025-12-31T23:59:59,1385,291,F,6,15
TICK-37,replace_sfp on C-01,Do replace_sfp for C-01,C-01,replace_sfp,Low,2,2025-12-01,in-progress,engineer@demo,Ava,15,basic,2025-11-08T00:00:00,2025-12-31T23:59:59,1100,100,C,1,18
TICK-38,reseat_blade on C-06,Do reseat_blade for C-06,C-06,reseat_blade,High,2,2025-12-01,queued,engineer@demo,Hana,60,basic,2025-11-08T00:00:00,2025-12-31T23:59:59,1385,101,C,6,39
TICK-39,replace_sfp on E-04,Do replace_sfp for E-04,E-04,replace_sfp,Low,3,2025-12-01,queued,engineer@demo,Ivan,15,basic,2025-11-08T00:00:00,2025-12-31T23:59:59,771,295,E,4,24
TICK-40,install_server on C-08,Do install_server for C-08,C-08,install_server,High,2,2025-12-01,queued,engineer@demo,Ava,45,basic,2025-11-08T00:00:00,2025-12-31T23:59:59,1500,104,C,8,35
people hire 
